auc,bin_acc,loss,precision,recall,val_auc,val_bin_acc,val_loss,val_precision,val_recall,learning_rate
0.7829053401947021,0.7694606184959412,0.5012795925140381,0.6661003232002258,0.3929136097431183,0.834286093711853,0.7972347140312195,0.45695075392723083,0.7092874646186829,0.49521544575691223,0.0010000000474974513
0.8192983865737915,0.7898557186126709,0.4702950119972229,0.7002772092819214,0.4669398367404938,0.8387409448623657,0.7991247773170471,0.4534771740436554,0.6975483298301697,0.5276077389717102,0.0010000000474974513
0.8304463028907776,0.7959707975387573,0.45965978503227234,0.7095305919647217,0.48832669854164124,0.8608731031417847,0.8166462182998657,0.42852044105529785,0.7497320175170898,0.5403863191604614,0.0010000000474974513
0.8373200297355652,0.799997866153717,0.452635794878006,0.7155128717422485,0.5020896792411804,0.8637485504150391,0.8193195462226868,0.4244454503059387,0.7546512484550476,0.5472511053085327,0.0010000000474974513
0.8414171934127808,0.8030692338943481,0.44838616251945496,0.7200334072113037,0.5124082565307617,0.8680341839790344,0.8207328915596008,0.42007431387901306,0.752324104309082,0.5579494833946228,0.0010000000474974513
0.8454262018203735,0.8056468367576599,0.44437867403030396,0.7250887155532837,0.5188962817192078,0.8713310360908508,0.8228527903556824,0.41525107622146606,0.7516557574272156,0.5699851512908936,0.0010000000474974513
0.8482454419136047,0.807185709476471,0.44116923213005066,0.7264915108680725,0.5252878665924072,0.8757516145706177,0.8274162411689758,0.41051942110061646,0.7667796611785889,0.5713818669319153,0.0010000000474974513
0.850380539894104,0.8080392479896545,0.43928399682044983,0.726630449295044,0.5298383831977844,0.8762132525444031,0.82719486951828,0.410541832447052,0.7674986720085144,0.5692719221115112,0.0010000000474974513
0.8517807722091675,0.8097100853919983,0.4373701214790344,0.7298844456672668,0.5339286923408508,0.8785424828529358,0.8280547857284546,0.40754926204681396,0.7750204205513,0.5633580684661865,0.0010000000474974513
0.8536285161972046,0.8107296228408813,0.4353407025337219,0.7315183877944946,0.5369648933410645,0.8773514032363892,0.8269734978675842,0.4084349274635315,0.7633066177368164,0.5740564465522766,0.0010000000474974513
0.8550359010696411,0.8114235401153564,0.43385761976242065,0.7323397397994995,0.5394814014434814,0.8800441026687622,0.8303620219230652,0.4043610394001007,0.7712343335151672,0.5798811316490173,0.0010000000474974513
0.8571081161499023,0.8124366998672485,0.4314563572406769,0.7326980233192444,0.5444773435592651,0.8826326131820679,0.8313921689987183,0.4015350341796875,0.7726663947105408,0.5830014944076538,0.0010000000474974513
0.8574714660644531,0.8134987950325012,0.43130630254745483,0.7358335852622986,0.545316219329834,0.8818078637123108,0.8318518996238708,0.40269219875335693,0.7686094045639038,0.5909955501556396,0.0010000000474974513
0.8582980632781982,0.8134349584579468,0.430278480052948,0.735089898109436,0.546140193939209,0.8850014805793762,0.8342272639274597,0.40026772022247314,0.7786205410957336,0.5887666940689087,0.0010000000474974513
0.8596512675285339,0.8141862750053406,0.42861974239349365,0.7362279295921326,0.5484340190887451,0.8861740827560425,0.8333163261413574,0.39796921610832214,0.7796280384063721,0.5829717516899109,0.0010000000474974513
0.8602940440177917,0.8148631453514099,0.4278665781021118,0.7379404306411743,0.5494139194488525,0.8837695717811584,0.832754373550415,0.39967748522758484,0.7690357565879822,0.5948885679244995,0.0010000000474974513
0.8617419600486755,0.8153952360153198,0.4263615906238556,0.7378634214401245,0.5524129867553711,0.8859254717826843,0.8344401121139526,0.39746665954589844,0.7801356911659241,0.587756335735321,0.0010000000474974513
0.8618741631507874,0.8161295652389526,0.4261544346809387,0.739395797252655,0.5539718866348267,0.8866393566131592,0.8335121273994446,0.3962588310241699,0.7715276479721069,0.5950965881347656,0.0010000000474974513
0.862784743309021,0.8168383836746216,0.4251776933670044,0.7402527928352356,0.5564438700675964,0.88741135597229,0.8354617953300476,0.39579057693481445,0.7668803334236145,0.6115899085998535,0.0010000000474974513
0.8633109331130981,0.8169873356819153,0.424589604139328,0.7399964332580566,0.5576464533805847,0.8888424634933472,0.8364323377609253,0.3946094810962677,0.7827432155609131,0.59390789270401,0.0010000000474974513
0.8634107112884521,0.8165616393089294,0.4244803488254547,0.7391574382781982,0.5566740036010742,0.8865495324134827,0.8344315886497498,0.39647796750068665,0.7725580334663391,0.5981872081756592,0.0010000000474974513
0.8640768527984619,0.8169277310371399,0.42363038659095764,0.7402087450027466,0.5569932460784912,0.8882300853729248,0.8352744579315186,0.39389753341674805,0.7710765600204468,0.6044873595237732,0.0010000000474974513
0.8652804493904114,0.8183367848396301,0.42248326539993286,0.7423171401023865,0.5612468123435974,0.8843116164207458,0.8313581347465515,0.39914360642433167,0.7611303925514221,0.5994948148727417,0.0010000000474974513
0.8656030893325806,0.8185666799545288,0.4219883978366852,0.7431433200836182,0.5611874461174011,0.8896746635437012,0.8364919424057007,0.39274296164512634,0.7770957350730896,0.601931631565094,0.0010000000474974513
0.8657387495040894,0.8190711140632629,0.42174768447875977,0.743468165397644,0.5633699297904968,0.8877533674240112,0.8345167636871338,0.39590296149253845,0.7727918028831482,0.5982763767242432,0.0010000000474974513
0.8663495182991028,0.8190988302230835,0.421041339635849,0.7436774373054504,0.5631917715072632,0.8913449645042419,0.8382458090782166,0.3900700509548187,0.7768204808235168,0.6109063625335693,0.0010000000474974513
0.8665869235992432,0.8190307021141052,0.4208909571170807,0.742257297039032,0.5650476217269897,0.8931323289871216,0.8384757041931152,0.3903807997703552,0.784325122833252,0.6016344428062439,0.0010000000474974513
0.8670955300331116,0.8194670081138611,0.42019128799438477,0.7442978620529175,0.5641865134239197,0.8939763903617859,0.8394292593002319,0.38806816935539246,0.7833333611488342,0.6075779795646667,0.0010000000474974513
0.8676128387451172,0.8201034665107727,0.41963836550712585,0.744910478591919,0.5666139721870422,0.892680287361145,0.8386459350585938,0.39037394523620605,0.7819381356239319,0.6057057976722717,0.0010000000474974513
0.8674009442329407,0.8199608325958252,0.41980475187301636,0.7448727488517761,0.5659161806106567,0.8928766250610352,0.8387821912765503,0.38877594470977783,0.7819854617118835,0.6063001751899719,0.0010000000474974513
0.8678189516067505,0.8201502561569214,0.4193471670150757,0.7441410422325134,0.5680615305900574,0.8918351531028748,0.8378201127052307,0.3899505138397217,0.7816007733345032,0.602169394493103,0.0010000000474974513
0.8691228628158569,0.8209527134895325,0.41789934039115906,0.7451706528663635,0.5707116723060608,0.8924941420555115,0.8381776809692383,0.388871431350708,0.7752339839935303,0.6128380298614502,0.0010000000474974513
0.8478854894638062,0.8071644306182861,0.4201483428478241,0.7234576940536499,0.5300759673118591,0.8876549005508423,0.8349424600601196,0.37039199471473694,0.7765540480613708,0.5950965881347656,9.999999747378752e-06
0.8563195466995239,0.8118683695793152,0.4100235402584076,0.7330756783485413,0.5407582521438599,0.8899365663528442,0.8362790942192078,0.3665103614330292,0.7775211930274963,0.6002971529960632,9.999999747378752e-06
0.8602354526519775,0.8144289255142212,0.4051710069179535,0.7375962138175964,0.5476025938987732,0.8914308547973633,0.8376157879829407,0.36395567655563354,0.7786656618118286,0.6052303314208984,9.999999747378752e-06
0.8617034554481506,0.8160912394523621,0.4029989242553711,0.7401489615440369,0.5525911450386047,0.8917240500450134,0.837888240814209,0.36322253942489624,0.7784257531166077,0.6068944931030273,9.999999747378752e-06
0.8626959323883057,0.8163977861404419,0.40173181891441345,0.7404106855392456,0.5538308620452881,0.8925045132637024,0.8383139371871948,0.3622971475124359,0.7792722582817078,0.6077860593795776,4.999999873689376e-06
0.8642458319664001,0.8172938823699951,0.399733304977417,0.7418828010559082,0.5563473701477051,0.8926287889480591,0.8389098644256592,0.361845463514328,0.7801148891448975,0.6095096468925476,4.999999873689376e-06
0.8640033006668091,0.8172959685325623,0.40015995502471924,0.7407793998718262,0.5580770373344421,0.892815887928009,0.8388673067092896,0.36154088377952576,0.7798175811767578,0.6097176671028137,4.999999873689376e-06
0.865068793296814,0.8190158009529114,0.3986232876777649,0.7442740797996521,0.5618258714675903,0.8930096626281738,0.8390035629272461,0.36112359166145325,0.7788075804710388,0.6117979288101196,4.999999873689376e-06
0.8650208115577698,0.8177919387817383,0.3988109827041626,0.7419202327728271,0.5589529871940613,0.8933210968971252,0.8395058512687683,0.36067986488342285,0.7804009318351746,0.6120059490203857,2.499999936844688e-06
0.8650893568992615,0.8177557587623596,0.3986023962497711,0.7415199875831604,0.5593835711479187,0.8934155106544495,0.8396846652030945,0.3605080246925354,0.7802996039390564,0.6130163669586182,2.499999936844688e-06
0.8660813570022583,0.818351686000824,0.3973851799964905,0.7426588535308838,0.5607939958572388,0.8936184644699097,0.8396931886672974,0.36022311449050903,0.7806901335716248,0.612511157989502,2.499999936844688e-06
0.8652591109275818,0.8184176683425903,0.3985441327095032,0.743291974067688,0.5601630210876465,0.8935935497283936,0.8399145007133484,0.3601883053779602,0.7801849246025085,0.6142942309379578,2.499999936844688e-06
0.8653466105461121,0.8188114762306213,0.3984156847000122,0.7439603805541992,0.5612245798110962,0.8937788009643555,0.8398038148880005,0.3600347340106964,0.7803310751914978,0.6135512590408325,1.249999968422344e-06
0.8657976388931274,0.8194223046302795,0.3976682126522064,0.7456843852996826,0.5618110299110413,0.8937061429023743,0.8398464322090149,0.36003562808036804,0.780012845993042,0.6142050623893738,1.249999968422344e-06
0.8658992648124695,0.8190754055976868,0.39764857292175293,0.7437741160392761,0.5629171133041382,0.893924355506897,0.8399145007133484,0.359686940908432,0.7805237770080566,0.6138187050819397,1.249999968422344e-06
0.8658925294876099,0.8188349008560181,0.39780285954475403,0.7438249588012695,0.5615586042404175,0.8938682079315186,0.8397186994552612,0.3597005605697632,0.7797825932502747,0.6139078736305237,1.249999968422344e-06
0.8654621839523315,0.8182027339935303,0.3981451988220215,0.7421671748161316,0.5607643127441406,0.893979549407959,0.8400847911834717,0.35962924361228943,0.7810503244400024,0.6139078736305237,6.24999984211172e-07
0.8658761382102966,0.8192903399467468,0.3976563811302185,0.7446173429489136,0.5627537965774536,0.8938584923744202,0.8397697806358337,0.35975003242492676,0.7799169421195984,0.6139672994613647,6.24999984211172e-07
0.8658962249755859,0.8187475800514221,0.3979128301143646,0.743219256401062,0.5620337128639221,0.8939594626426697,0.840255081653595,0.3596176505088806,0.7808973789215088,0.6149479746818542,6.24999984211172e-07
